LISTING: red steel led strip, size 10 | BRAND: Ostrell | REGION: CA -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: green steel pet bed, size 3 | BRAND: Krendal | REGION: UK -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: orange nylon heat gun, size 9 | BRAND: Quorra | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: green rubber floor lamp, size 1 | BRAND: Vornado | REGION: CA -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: white steel lock pick set, size 4 | BRAND: Umbral | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: yellow nylon dumbbell set, size 1 | BRAND: VoltEdge | REGION: EU -> CATEGORY: Fitness Gear | VERDICT: flagged
LISTING: green leather backpack, size 9 | BRAND: TrailKing | REGION: UK -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: blue aluminum cordless drill, size 12 | BRAND: Vornado | REGION: UK -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: grey cotton lock pick set, size 2 | BRAND: Halvern | REGION: UK -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: grey rubber yoga mat, size 1 | BRAND: Ostrell | REGION: UK -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: red aluminum air fryer, size 5 | BRAND: Nordbay | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: green steel trail shoes, size 1 | BRAND: Quorra | REGION: EU -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: red leather vape pen, size 5 | BRAND: Mavano | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: black canvas led strip, size 8 | BRAND: Pinevale | REGION: US -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: black rubber lock pick set, size 1 | BRAND: Ironmark | REGION: UK -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red rubber trail shoes, size 7 | BRAND: Kestrel | REGION: EU -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: yellow leather circular saw, size 10 | BRAND: Mavano | REGION: AU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: white canvas resistance bands, size 3 | BRAND: Ostrell | REGION: AU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: grey aluminum power bank, size 6 | BRAND: VoltEdge | REGION: US -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: grey rubber laser pointer, size 1 | BRAND: Umbral | REGION: CA -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: green leather blender, size 5 | BRAND: Mavano | REGION: AU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: green rubber dog leash, size 9 | BRAND: Quorra | REGION: EU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: grey steel cat tree, size 9 | BRAND: PawHaven | REGION: AU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: yellow canvas laser pointer, size 1 | BRAND: Corvale | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: black canvas vape pen, size 9 | BRAND: Ostrell | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: black silicone phone case, size 4 | BRAND: Lorvex | REGION: US -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: red rubber trail shoes, size 9 | BRAND: Solvex | REGION: CA -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: orange steel charging cable, size 5 | BRAND: Quorra | REGION: UK -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: white silicone backpack, size 3 | BRAND: TrailKing | REGION: CA -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: yellow steel running shoes, size 6 | BRAND: Kestrel | REGION: US -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: yellow aluminum running shoes, size 7 | BRAND: Pinevale | REGION: EU -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: black nylon charging cable, size 3 | BRAND: Duxton | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: grey leather angle grinder, size 8 | BRAND: Grohler | REGION: US -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: green silicone blender, size 3 | BRAND: VoltEdge | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: flagged
LISTING: orange steel desk lamp, size 10 | BRAND: Pinevale | REGION: UK -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: red leather backpack, size 10 | BRAND: Grohler | REGION: CA -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: grey silicone toaster, size 7 | BRAND: Umbral | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: green aluminum vape pen, size 10 | BRAND: Solvex | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: orange steel stun gun, size 4 | BRAND: Ostrell | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: green rubber running shoes, size 4 | BRAND: Brontek | REGION: US -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: grey cotton cat tree, size 4 | BRAND: Krendal | REGION: UK -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: yellow canvas dog leash, size 3 | BRAND: Mavano | REGION: CA -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: black leather desk lamp, size 7 | BRAND: Tabor | REGION: AU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: yellow rubber duffel bag, size 11 | BRAND: Kestrel | REGION: UK -> CATEGORY: Bags & Luggage | VERDICT: flagged
LISTING: blue nylon laser pointer, size 5 | BRAND: Solvex | REGION: CA -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: black cotton led strip, size 9 | BRAND: Vornado | REGION: AU -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: red silicone lock pick set, size 4 | BRAND: Grohler | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: blue leather backpack, size 6 | BRAND: TrailKing | REGION: UK -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: white nylon dumbbell set, size 11 | BRAND: TrailKing | REGION: US -> CATEGORY: Fitness Gear | VERDICT: flagged
LISTING: orange leather phone case, size 4 | BRAND: Duxton | REGION: EU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: blue leather led strip, size 6 | BRAND: Krendal | REGION: US -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: white canvas cordless drill, size 7 | BRAND: Krendal | REGION: AU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: grey steel charging cable, size 5 | BRAND: TrailKing | REGION: UK -> CATEGORY: Phone Accessories | VERDICT: flagged
LISTING: yellow aluminum power bank, size 4 | BRAND: Duxton | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: orange rubber charging cable, size 8 | BRAND: Solvex | REGION: US -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: yellow nylon air fryer, size 2 | BRAND: VoltEdge | REGION: UK -> CATEGORY: Kitchen Appliances | VERDICT: flagged
LISTING: blue canvas air fryer, size 6 | BRAND: Vestra | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: yellow leather laser pointer, size 6 | BRAND: Elmira | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white leather charging cable, size 12 | BRAND: VoltEdge | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: yellow rubber running shoes, size 1 | BRAND: Kestrel | REGION: US -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: orange leather heat gun, size 8 | BRAND: Vornado | REGION: US -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: green silicone trail shoes, size 10 | BRAND: Kestrel | REGION: CA -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: grey cotton charging cable, size 12 | BRAND: Jovita | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: black rubber desk lamp, size 9 | BRAND: Mavano | REGION: CA -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: orange aluminum running shoes, size 12 | BRAND: Umbral | REGION: US -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: orange nylon pet bed, size 9 | BRAND: Lorvex | REGION: UK -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: orange leather phone case, size 7 | BRAND: Halvern | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: green silicone kettle, size 9 | BRAND: Ironmark | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: black canvas stun gun, size 2 | BRAND: Nordbay | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white canvas vape pen, size 3 | BRAND: Mavano | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white nylon led strip, size 11 | BRAND: Luminara | REGION: EU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: green leather running shoes, size 6 | BRAND: Luminara | REGION: CA -> CATEGORY: Athletic Footwear | VERDICT: flagged
LISTING: orange leather running shoes, size 5 | BRAND: Kestrel | REGION: US -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: black aluminum vape pen, size 6 | BRAND: Mavano | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red nylon lock pick set, size 6 | BRAND: Mavano | REGION: UK -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: yellow steel resistance bands, size 5 | BRAND: Mavano | REGION: US -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: black rubber cordless drill, size 3 | BRAND: Quorra | REGION: UK -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: black aluminum dog leash, size 8 | BRAND: Tabor | REGION: UK -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: black cotton dog leash, size 9 | BRAND: Pinevale | REGION: EU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: black nylon circular saw, size 12 | BRAND: Rendale | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: orange nylon air fryer, size 10 | BRAND: Krendal | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: black canvas trail shoes, size 12 | BRAND: Mavano | REGION: UK -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: white cotton air fryer, size 1 | BRAND: Vornado | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: flagged
LISTING: white rubber laser pointer, size 6 | BRAND: Vestra | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: black canvas charging cable, size 2 | BRAND: Quorra | REGION: EU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: white nylon dog leash, size 4 | BRAND: PawHaven | REGION: CA -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: blue canvas backpack, size 12 | BRAND: Elmira | REGION: US -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: yellow leather led strip, size 2 | BRAND: Jovita | REGION: UK -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: yellow rubber floor lamp, size 2 | BRAND: Luminara | REGION: AU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: orange nylon work gloves, size 2 | BRAND: Vestra | REGION: UK -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: orange cotton dumbbell set, size 4 | BRAND: Vornado | REGION: CA -> CATEGORY: Fitness Gear | VERDICT: flagged
LISTING: grey rubber resistance bands, size 5 | BRAND: Adera | REGION: EU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: orange silicone charging cable, size 5 | BRAND: VoltEdge | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: orange nylon heat gun, size 5 | BRAND: Vornado | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: red silicone welding gloves, size 12 | BRAND: Luminara | REGION: CA -> CATEGORY: Safety Gloves | VERDICT: flagged
LISTING: green canvas led strip, size 11 | BRAND: TrailKing | REGION: CA -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: blue leather charging cable, size 10 | BRAND: Ostrell | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: red aluminum power bank, size 9 | BRAND: Quorra | REGION: EU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: yellow steel pet bed, size 10 | BRAND: PawHaven | REGION: CA -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: red steel heat gun, size 10 | BRAND: Vornado | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: white steel led strip, size 4 | BRAND: PawHaven | REGION: CA -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: grey leather blender, size 10 | BRAND: Elmira | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: yellow rubber cordless drill, size 10 | BRAND: Quorra | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: black rubber angle grinder, size 8 | BRAND: Umbral | REGION: AU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: orange silicone angle grinder, size 5 | BRAND: Vornado | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: yellow rubber angle grinder, size 12 | BRAND: Vornado | REGION: US -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: orange aluminum floor lamp, size 5 | BRAND: TrailKing | REGION: US -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: black leather power bank, size 2 | BRAND: Ironmark | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: orange canvas cordless drill, size 7 | BRAND: Vornado | REGION: AU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: red canvas angle grinder, size 12 | BRAND: Ironmark | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: green cotton backpack, size 7 | BRAND: Brontek | REGION: CA -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: red nylon suitcase, size 6 | BRAND: Lorvex | REGION: EU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: orange leather dumbbell set, size 2 | BRAND: Jovita | REGION: EU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: red aluminum charging cable, size 2 | BRAND: Mavano | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: yellow canvas phone case, size 5 | BRAND: Vestra | REGION: US -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: grey rubber resistance bands, size 11 | BRAND: VoltEdge | REGION: EU -> CATEGORY: Fitness Gear | VERDICT: flagged
LISTING: orange nylon phone case, size 7 | BRAND: VoltEdge | REGION: EU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: white rubber welding gloves, size 3 | BRAND: Vornado | REGION: UK -> CATEGORY: Safety Gloves | VERDICT: flagged
LISTING: black leather phone case, size 3 | BRAND: PawHaven | REGION: UK -> CATEGORY: Phone Accessories | VERDICT: flagged
LISTING: white nylon duffel bag, size 3 | BRAND: VoltEdge | REGION: AU -> CATEGORY: Bags & Luggage | VERDICT: flagged
LISTING: blue nylon charging cable, size 4 | BRAND: Tabor | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: yellow nylon dog leash, size 12 | BRAND: Kestrel | REGION: UK -> CATEGORY: Pet Supplies | VERDICT: flagged
LISTING: grey leather circular saw, size 2 | BRAND: Vornado | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: orange nylon cordless drill, size 3 | BRAND: Fenwick | REGION: UK -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: orange canvas yoga mat, size 4 | BRAND: Lorvex | REGION: CA -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: grey silicone phone case, size 8 | BRAND: VoltEdge | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: green cotton kettle, size 5 | BRAND: Luminara | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: flagged
LISTING: red steel cat tree, size 10 | BRAND: Brontek | REGION: AU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: black steel stun gun, size 12 | BRAND: Umbral | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red aluminum resistance bands, size 12 | BRAND: Nordbay | REGION: UK -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: blue nylon welding gloves, size 1 | BRAND: Duxton | REGION: UK -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: black aluminum cat tree, size 2 | BRAND: Jovita | REGION: EU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: white aluminum cordless drill, size 3 | BRAND: Vornado | REGION: UK -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: yellow silicone laser pointer, size 2 | BRAND: Jovita | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: black leather phone case, size 8 | BRAND: Pinevale | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: green rubber backpack, size 10 | BRAND: Nordbay | REGION: CA -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: grey silicone trail shoes, size 12 | BRAND: Ostrell | REGION: US -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: green steel suitcase, size 7 | BRAND: Corvale | REGION: US -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: green steel pet bed, size 1 | BRAND: Brontek | REGION: EU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: blue steel pet bed, size 12 | BRAND: Vornado | REGION: CA -> CATEGORY: Pet Supplies | VERDICT: flagged
LISTING: green nylon blender, size 9 | BRAND: Krendal | REGION: AU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: red steel kettle, size 10 | BRAND: VoltEdge | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: flagged
LISTING: white steel cordless drill, size 11 | BRAND: Umbral | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: grey canvas vape pen, size 12 | BRAND: Halvern | REGION: UK -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: orange canvas phone case, size 4 | BRAND: Pinevale | REGION: US -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: grey cotton backpack, size 1 | BRAND: VoltEdge | REGION: EU -> CATEGORY: Bags & Luggage | VERDICT: flagged
LISTING: red canvas floor lamp, size 12 | BRAND: Quorra | REGION: CA -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: blue rubber angle grinder, size 3 | BRAND: Ostrell | REGION: AU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: red rubber desk lamp, size 9 | BRAND: Elmira | REGION: CA -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: yellow rubber toaster, size 2 | BRAND: Mavano | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: green leather desk lamp, size 3 | BRAND: Pinevale | REGION: AU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: grey rubber vape pen, size 1 | BRAND: Umbral | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: blue rubber dog leash, size 3 | BRAND: Rendale | REGION: US -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: red aluminum cat tree, size 8 | BRAND: Nordbay | REGION: AU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: orange nylon stun gun, size 9 | BRAND: Corvale | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: green silicone work gloves, size 10 | BRAND: Tabor | REGION: US -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: white aluminum stun gun, size 1 | BRAND: Grohler | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: yellow aluminum power bank, size 4 | BRAND: Luminara | REGION: UK -> CATEGORY: Phone Accessories | VERDICT: flagged
LISTING: yellow leather cordless drill, size 11 | BRAND: Vornado | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: green nylon cat tree, size 11 | BRAND: Fenwick | REGION: CA -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: orange cotton duffel bag, size 11 | BRAND: TrailKing | REGION: EU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: orange leather duffel bag, size 7 | BRAND: Solvex | REGION: AU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: orange rubber desk lamp, size 12 | BRAND: Adera | REGION: CA -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: orange steel air fryer, size 4 | BRAND: Krendal | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: grey aluminum resistance bands, size 6 | BRAND: Lorvex | REGION: AU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: yellow cotton charging cable, size 12 | BRAND: Umbral | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: white rubber circular saw, size 2 | BRAND: Fenwick | REGION: US -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: green canvas work gloves, size 6 | BRAND: Luminara | REGION: EU -> CATEGORY: Safety Gloves | VERDICT: flagged
LISTING: yellow leather resistance bands, size 1 | BRAND: Krendal | REGION: EU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: orange aluminum circular saw, size 2 | BRAND: Solvex | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: yellow aluminum stun gun, size 10 | BRAND: Lorvex | REGION: UK -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: orange cotton stun gun, size 11 | BRAND: Tabor | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: yellow canvas vape pen, size 6 | BRAND: Fenwick | REGION: UK -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: blue steel backpack, size 7 | BRAND: Duxton | REGION: UK -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: green aluminum cat tree, size 7 | BRAND: Lorvex | REGION: US -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: yellow silicone backpack, size 4 | BRAND: Tabor | REGION: AU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: orange aluminum toaster, size 10 | BRAND: Umbral | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: blue rubber phone case, size 7 | BRAND: Jovita | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: white canvas stun gun, size 6 | BRAND: Quorra | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white canvas phone case, size 7 | BRAND: VoltEdge | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: grey canvas dog leash, size 2 | BRAND: Kestrel | REGION: UK -> CATEGORY: Pet Supplies | VERDICT: flagged
LISTING: grey nylon running shoes, size 2 | BRAND: Kestrel | REGION: US -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: yellow steel dog leash, size 9 | BRAND: PawHaven | REGION: CA -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: blue rubber desk lamp, size 11 | BRAND: Ostrell | REGION: UK -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: orange canvas duffel bag, size 7 | BRAND: Ironmark | REGION: EU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: black nylon work gloves, size 8 | BRAND: Adera | REGION: EU -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: black leather kettle, size 6 | BRAND: Ironmark | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: orange canvas dumbbell set, size 2 | BRAND: PawHaven | REGION: AU -> CATEGORY: Fitness Gear | VERDICT: flagged
LISTING: black steel air fryer, size 3 | BRAND: Adera | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: blue cotton kettle, size 3 | BRAND: Nordbay | REGION: UK -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: black leather toaster, size 7 | BRAND: Elmira | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: blue nylon pet bed, size 3 | BRAND: Umbral | REGION: EU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: blue leather air fryer, size 5 | BRAND: Tabor | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: white steel phone case, size 10 | BRAND: Solvex | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: yellow silicone suitcase, size 10 | BRAND: TrailKing | REGION: AU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: yellow cotton resistance bands, size 3 | BRAND: Vornado | REGION: UK -> CATEGORY: Fitness Gear | VERDICT: flagged
LISTING: green rubber laser pointer, size 2 | BRAND: Adera | REGION: UK -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white leather desk lamp, size 2 | BRAND: TrailKing | REGION: AU -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: red cotton cat tree, size 4 | BRAND: PawHaven | REGION: US -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: red aluminum desk lamp, size 6 | BRAND: Nordbay | REGION: AU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: green steel yoga mat, size 10 | BRAND: Adera | REGION: CA -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: grey silicone welding gloves, size 3 | BRAND: Luminara | REGION: UK -> CATEGORY: Safety Gloves | VERDICT: flagged
LISTING: yellow nylon laser pointer, size 7 | BRAND: Fenwick | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: green steel stun gun, size 5 | BRAND: Quorra | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: green rubber kettle, size 1 | BRAND: PawHaven | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: flagged
LISTING: green canvas laser pointer, size 11 | BRAND: Grohler | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red canvas cat tree, size 2 | BRAND: Rendale | REGION: EU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: blue nylon power bank, size 10 | BRAND: Pinevale | REGION: EU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: black canvas angle grinder, size 4 | BRAND: Krendal | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: grey silicone charging cable, size 8 | BRAND: Rendale | REGION: US -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: red cotton suitcase, size 8 | BRAND: Duxton | REGION: CA -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: black canvas phone case, size 4 | BRAND: Jovita | REGION: US -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: green nylon pet bed, size 4 | BRAND: Vornado | REGION: CA -> CATEGORY: Pet Supplies | VERDICT: flagged
LISTING: blue cotton pet bed, size 8 | BRAND: Adera | REGION: AU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: grey steel angle grinder, size 5 | BRAND: Quorra | REGION: US -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: blue cotton laser pointer, size 5 | BRAND: Duxton | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red nylon kettle, size 2 | BRAND: Fenwick | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: yellow rubber running shoes, size 6 | BRAND: Vornado | REGION: EU -> CATEGORY: Athletic Footwear | VERDICT: flagged
LISTING: black canvas running shoes, size 4 | BRAND: Ironmark | REGION: UK -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: green silicone circular saw, size 5 | BRAND: Lorvex | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: red rubber floor lamp, size 8 | BRAND: Vornado | REGION: AU -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: red aluminum blender, size 12 | BRAND: Jovita | REGION: AU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: grey leather laser pointer, size 4 | BRAND: Jovita | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
